x, y
383.0083582755488, -3.552713678800501e-14
386.3509755017438, 1.66665782099183
389.8328732966502, 1.66665782099183
392.7576599046042, 1.249993365743805
396.51810774904015, 2.500019902768301
399.44289990094074, 6.249999999999993
402.22841702807654, 16.25001326851219
405.988859328566, 82.91667440663211
409.47075712347237, 161.25000663425612
414.20613014126195, 121.25000331712809
417.96657798569794, 102.916667772376
420.3342644945928, 83.75000331712805
422.7019510034876, 62.91668104088826
425.348187561912, 45.416674406632104
429.2479104311128, 31.666664455247947
432.72980822601914, 19.166664455247922
436.35098104569033, 13.333328910495894
439.97214277746843, 9.16668435801629
443.03621549808037, 6.249999999999993
446.239552155564, 5.416671089504064
449.72144995047034, 4.5833421790081275
455.7103092790363, 1.66665782099183
460.16713224729637, 2.083355447520333
