x, y
100.0 , 0.0
115.58448607827374, 7.777780726336064
146.42860373825644, 26.00000353826993
159.41567547015114, 22.44444916213768
172.40261796330606, 26.44444562386777
193.5065287534226, 26.00000353826993
214.61043954353914, 28.22222281193389
234.09098252201136, 28.22222281193389
271.42857142857133, 19.555557914402186
310.3896573855159, 25.111110521399468
342.8571428571428, 27.555559683537147
360.7143180239707, 24.444447393002726
391.55843568395323, 29.55555791440218
419.15581772064735, 33.33333333333334
449.99993538062995, 36.66666666666668
482.46755009099684, 38.66666489753171
511.6882999393353, 38.66666489753171
545.7791532226067, 37.11111759793933
583.1168713679067, 34.88888947860055
612.337621216245, 32.222228119338794
631.8181641947173, 28.888894786005437
661.0389140430552, 26.888887709465582
685.3895604564607, 24.444447393002726
712.9869424931545, 21.999998230865046
743.8311893918773, 18.44444385473281
776.2986748635044, 15.333331564198373
808.7661603351313, 12.222228119338777
834.7401745601809, 10.222221042798921
862.337556596875, 8.222222811933891
899.675274742175, 6.000003538269948
1000.0, 0.0
