x, y
115.59138969392795, 1.7009126111824264
116.1290360110538, 1.6689708703941422
117.20429284756153, 1.6260776738851375
119.35484231832096, 1.5731456328378388
120.96774547195454, 1.5266019460247773
125.26880861572943, 1.4709320562387487
129.56988965837633, 1.4097864082094596
133.33332438389732, 1.3869708855855922
138.70968016192396, 1.3605048878491184
149.46235592023314, 1.3212621512612701
149.46235592023314, 1.3212621512612701
168.81719376383612, 1.292970870394142
189.78493476107266, 1.2738058228828812
222.04301573261628, 1.258291280867128
254.3010788052879, 1.2482524667117345
298.92472078990227, 1.2418640972860473
370.9677163862875, 1.2382135917905401
436.5591351658825, 1.2327378639301798
546.236513815222, 1.2327378639301798
658.6021240501908, 1.23
