x, y
320.0, 0
379.92121949155467, 0.00502449840528163
389.3700380190001, 0.03517628950423923
395.2755672290637, 0.09547747136851692
400, 0.396984980912345
421.2598299331455, 4.316582604982092
426.57481092364543, 5.040200787909519
430.1181002410273, 5.221105133613572
433.66138955840916, 5.4221106733836
438.97637054890913, 5.542713037112159
444.88189975897274, 5.44221106733836
450.1968337350455, 5.180904345704053
454.9212665059818, 4.8592964422054665
467.91337435080914, 3.7336679798491987
480.9055292100636, 2.6683414994684256
490.94489595707273, 2.0251256924712524
501.57481092364543, 1.4221106733836004
519.2913515394091, 0.7989952603411844
528.1496218472909, 0.5577889326616383
543.5039695848, 0.33668379904806744
565.3543477375091, 0.1758790471875572
588.3858693437726, 0.09547747136851692
620.0, 0
